fia_id,parent_fia_id,layer_position,registered_derivation_id,authority,raw_derivation_payload_published
FIA-09,FIA-09,L03,FIA-09-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-09,FIA-09,L04,FIA-09-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-09,FIA-09,L05,FIA-09-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-09,FIA-09,L06,FIA-09-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-09,FIA-09,L07,FIA-09-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L01,FIA-10-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L02,FIA-10-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L03,FIA-10-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L04,FIA-10-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L05,FIA-10-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L06,FIA-10-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-10,FIA-10,L07,FIA-10-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L01,FIA-11-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L02,FIA-11-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L03,FIA-11-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L04,FIA-11-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L05,FIA-11-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L06,FIA-11-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-11,FIA-11,L07,FIA-11-registered-derivation-07,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L01,FIA-12-registered-derivation-01,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L02,FIA-12-registered-derivation-02,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L03,FIA-12-registered-derivation-03,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L04,FIA-12-registered-derivation-04,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L05,FIA-12-registered-derivation-05,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L06,FIA-12-registered-derivation-06,ACTUAL_EVIDENCE,false
FIA-12,FIA-12,L07,FIA-12-registered-derivation-07,ACTUAL_EVIDENCE,false

